userId,movieId,title,Q_value
1,170937,Win It All (2017),1.194
1,5581,Betsy's Wedding (1990),0.2577
1,59727,"Strangers, The (2008)",0.2424
1,169982,Power Rangers (2017),0.2347
1,184257,Making a Murderer (2015),0.2188
2,1,Toy Story (1995),1.0337
2,3394,Blind Date (1987),0.2607
2,64983,Valkyrie (2008),0.2555
2,90249,Real Steel (2011),0.2358
2,3011,"They Shoot Horses, Don't They? (1969)",0.2354
3,1,Toy Story (1995),1.3472
3,91535,"Bourne Legacy, The (2012)",0.2481
3,255,"Jerky Boys, The (1995)",0.2262
3,151455,Eddie the Eagle (2016),0.1879
3,6078,Firefox (1982),0.1783
4,1,Toy Story (1995),2.6567
4,102800,Frances Ha (2012),0.5181
4,80162,"Horde, The (La Horde) (2009)",0.4929
4,58826,"Shepherd: Border Patrol, The (2008)",0.458
4,3811,Breaker Morant (1980),0.456
5,156607,The Huntsman Winter's War (2016),1.8018
5,5523,"Adventures of Pluto Nash, The (2002)",1.4451
5,80162,"Horde, The (La Horde) (2009)",1.3448
5,42761,Casper Meets Wendy (1998),1.3293
5,47970,"Last Kiss, The (2006)",1.1177
6,1,Toy Story (1995),2.4591
6,1490,B*A*P*S (1997),0.5999
6,48649,Chapayev (1934),0.5582
6,1128,"Fog, The (1980)",0.5436
6,6886,Beyond Borders (2003),0.4354
7,5346,Wild Orchid (1990),1.8447
7,6429,Winchester '73 (1950),1.5779
7,8578,Undead (2003),1.4505
7,1642,Indian Summer (a.k.a. Alive & Kicking) (1996),1.4263
7,154358,The Barkley Marathons: The Race That Eats Its Young (2015),1.3617
8,1,Toy Story (1995),2.9702
8,4153,Down to Earth (2001),0.5385
8,93766,Wrath of the Titans (2012),0.5291
8,4419,All That Heaven Allows (1955),0.4736
8,8376,Napoleon Dynamite (2004),0.4672
9,1,Toy Story (1995),2.7449
9,1484,"Daytrippers, The (1996)",0.6547
9,3097,"Shop Around the Corner, The (1940)",0.5026
9,1140,Entertaining Angels: The Dorothy Day Story (1996),0.4991
9,8008,Brigadoon (1954),0.4956
10,169180,American Fable (2017),0.3307
10,58783,Youth Without Youth (2007),0.1038
10,4736,Summer Catch (2001),0.0961
10,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.0944
10,1235,Harold and Maude (1971),0.0943
11,44004,Failure to Launch (2006),0.8381
11,3735,Serpico (1973),0.2165
11,7368,Never Die Alone (2004),0.2047
11,1985,Halloween 4: The Return of Michael Myers (1988),0.1823
11,7312,"Follow Me, Boys! (1966)",0.1539
12,1,Toy Story (1995),1.5472
12,8964,Callas Forever (2002),0.4188
12,3974,"Little Vampire, The (2000)",0.404
12,1105,Children of the Corn IV: The Gathering (1996),0.3957
12,3855,"Affair of Love, An (Liaison pornographique, Une) (1999)",0.3916
13,1,Toy Story (1995),1.9927
13,3096,My Man Godfrey (1957),0.3889
13,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0.388
13,3743,Boys and Girls (2000),0.3811
13,8424,"Divorcee, The (1930)",0.3682
14,1,Toy Story (1995),1.7313
14,59118,Happy-Go-Lucky (2008),0.394
14,141513,Fort Tilden (2014),0.3746
14,70492,Winds of the Wasteland (1936),0.3577
14,3524,Arthur (1981),0.3358
15,131934,The Malibu Bikini Shop (1986),0.7013
15,2287,Them! (1954),0.5295
15,3852,"Tao of Steve, The (2000)",0.5089
15,33880,Me and You and Everyone We Know (2005),0.5004
15,7149,Something's Gotta Give (2003),0.4897
16,1,Toy Story (1995),2.8677
16,5867,Thief (1981),0.5232
16,5989,Catch Me If You Can (2002),0.5225
16,73321,"Book of Eli, The (2010)",0.5158
16,1985,Halloween 4: The Return of Michael Myers (1988),0.5108
17,26133,"Charlie Brown Christmas, A (1965)",1.0788
17,3898,Bait (2000),0.3106
17,101765,"Perfect Plan, A (Plan parfait, Un) (2012)",0.2452
17,73431,"Maiden Heist, The (2009)",0.2327
17,2183,"Man Who Knew Too Much, The (1956)",0.231
18,949,East of Eden (1955),1.5754
18,1357,Shine (1996),1.4947
18,7228,Cool World (1992),1.4748
18,99117,This Is 40 (2012),1.4487
18,100302,Upside Down (2012),1.31
19,5632,Bloody Sunday (2002),1.9225
19,172589,Winter in Prostokvashino (1984),1.7173
19,4660,Scenes from the Class Struggle in Beverly Hills (1989),1.6357
19,157312,The Boss (2016),1.6248
19,6884,Veronica Guerin (2003),1.5725
20,1,Toy Story (1995),4.8263
20,4602,Harlem Nights (1989),1.2604
20,54736,"Kingdom, The (2007)",1.0207
20,7114,"Collector, The (1965)",0.992
20,7263,Miracle (2004),0.9613
21,4535,"Man from Snowy River, The (1982)",0.8111
21,84952,Confessions (Kokuhaku) (2010),0.2513
21,1406,La Cérémonie (1995),0.2357
21,47646,Idlewild (2006),0.2336
21,3095,"Grapes of Wrath, The (1940)",0.2127
22,1,Toy Story (1995),2.3467
22,93610,Space Battleship Yamato (2010),0.6033
22,1267,"Manchurian Candidate, The (1962)",0.5042
22,111817,Jimi: All Is by My Side (2013),0.4964
