userId,movieId,title,recommanded_genres,Q_value
19,5989,Catch Me If You Can (2002),Crime|Drama,5.2313
19,1036,Die Hard (1988),Action|Crime|Thriller,5.1895
19,608,Fargo (1996),Comedy|Crime|Drama|Thriller,5.1417
19,110,Braveheart (1995),Action|Drama|War,4.9943
19,7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,4.7689
28,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,2.3314
28,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1.5481
28,34,Babe (1995),Children|Drama,1.2765
28,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,1.2066
28,4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,1.1916
64,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,5.3198
64,3578,Gladiator (2000),Action|Adventure|Drama,5.1025
64,5989,Catch Me If You Can (2002),Crime|Drama,4.9431
64,457,"Fugitive, The (1993)",Thriller,4.8914
64,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,4.4548
68,733,"Rock, The (1996)",Action|Adventure|Thriller,1.5224
68,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0.9377
89,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,8.1771
89,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,7.4886
89,150,Apollo 13 (1995),Adventure|Drama|IMAX,7.4797
89,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,7.0011
89,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,6.9825
91,58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,4.6972
91,79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.4169
91,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,4.2134
91,7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,3.813
91,2329,American History X (1998),Crime|Drama,3.8067
105,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,2.5998
105,590,Dances with Wolves (1990),Adventure|Drama|Western,1.6077
105,2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,1.5397
105,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,1.5305
105,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,1.5211
111,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9164
111,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,2.5283
111,733,"Rock, The (1996)",Action|Adventure|Thriller,2.317
111,1221,"Godfather: Part II, The (1974)",Crime|Drama,2.2482
111,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,2.1682
140,33794,Batman Begins (2005),Action|Crime|IMAX,5.4174
140,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,5.4148
140,79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.7707
140,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,4.587
140,586,Home Alone (1990),Children|Comedy,4.3817
177,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,5.1774
177,10,GoldenEye (1995),Action|Adventure|Thriller,4.8732
177,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,4.7038
177,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,4.5957
177,110,Braveheart (1995),Action|Drama|War,4.4191
182,500,Mrs. Doubtfire (1993),Comedy|Drama,6.5165
182,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,5.7401
182,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,4.573
182,1721,Titanic (1997),Drama|Romance,4.3785
182,344,Ace Ventura: Pet Detective (1994),Comedy,4.3105
